Software Version:	2.0.6470.17062
Unit SN:	AIO-M72-0210
Spectrometer SN:	5335
Date:	1/8/2018 11:54:58 AM
Data Line Index:	25
Spectral Points:	1941
Integration time (ms):	10000
Averages:	20
Delay (ms):	0
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	753
Laser Diode Temp (C):	25
Laser Case Temp (C):	22.7
System Temp (C):	23.6
Spectrometer Temp (C):	20.7
CCD Temp (C):	-0.003
Secondary Temp (C):	20.006
Heatsink Temp (C):	18.895
CCDPCB Temp (C):	37.663
SecondaryPCB Temp (C):	25.024

Wavelength	RamanShift	Raw Counts	Dark Subtracted
876.3619	1321.9006	8947.55	7137.1
876.5061	1323.7769	9095.4	6964.75
876.6502	1325.6525	8985.45	7086.7
876.7943	1327.5273	8951.7	7133.65
876.9384	1329.4014	8934.75	7130.3
877.0825	1331.2748	8874.5	7116.6
877.2266	1333.1474	8962.65	7136.05
877.3706	1335.0192	8899.6	7107.15
877.5147	1336.8903	8882.95	7109.75
877.6587	1338.7607	8890.9	7095.9
877.8028	1340.6303	8898.6	7124
877.9468	1342.4992	8890.85	7118.6
878.0908	1344.3674	8899.15	7105.15
878.2348	1346.2348	8899.5	7145.45
878.3788	1348.1014	8885.7	7126.7
878.5228	1349.9673	8875.95	7112.65
878.6668	1351.8325	8980.8	7126.65
878.8108	1353.6969	8963.3	7112.25
878.9547	1355.5606	8905.25	7082
879.0987	1357.4235	8906.4	7082.15
879.2426	1359.2857	8857.35	7031.55
879.3865	1361.1471	8830.95	7019.95
879.5304	1363.0078	8911.65	6995.1
879.6743	1364.8677	8820.35	6956.2
879.8182	1366.7269	8739.6	6958.85
879.9621	1368.5854	8688.55	6945.95
880.106	1370.4431	8795.35	6953.6
880.2498	1372.3	8855.8	6942.7
880.3937	1374.1563	8755	6922.45
880.5375	1376.0117	8737	6889.45
880.6814	1377.8665	8657.4	6863.6
